question,answer,type
Can a victim request anonymity?,"Yes, to the extent practicable.",original
Where is the Alumni Office?,Main Administration Block.,original
What extensions reach the Alumni Office?,"585, 205, 206.",original
When was the Alumni Association registered?,April 1990.,original
Must graduating students register with alumni?,Yes; mandatory before leaving.,original
How can alumni update contact details?,Email alumni@usiu.ac.ke.,original
Where is the Human Resources Office?,"First floor, Administration Block.",original
What extension reaches HR?,408,original
Where is the Health Centre?,Next to the hostels.,original
What extensions reach the Health Centre?,"542, 230, 229.",original
What are Health Centre daytime hours?,8:00 am- 10:00 pm for all students.,original
Are resident students served at night?,"Yes, 10:00 pm- 8:00 am for emergencies.",original
When is the Health Centre closed?,Public holidays & when school is not in session.,original
Does the Health Centre do minor surgery?,"Yes, e.g., stitching, dressing wounds.",original
What vaccinations are offered?,Routine and travel vaccines.,original
Are all students insured against accidents?,"Yes, up to Ksh 200 000 for injuries.",original
What is the payout for fatal accidents?,Ksh 500 000.,original
How is the sports-injury cover paid?,University pays providers directly.,original
What must a student do when injured on campus?,"Report to Health Centre, fill Personal Accident Claim Form.",original
How long does one have to return claim forms?,Within 14 days of injury.,original
What happens if forms are not completed?,Medical charges are posted to the student account.,original
Where is the ICT Department's help desk?,Ext 333 or helpdesk@usiu.ac.ke.,original
Who is exempt from computer-lab fees?,IST students (already incorporated).,original
How many ICT labs are available?,15 in total.,original
Can students play games in labs?,No; disciplinary action will follow.,original
Is food allowed in computer labs?,No.,original
What is the daily data-backup folder?,The z:\ folder on the server.,original
When is the z:\ folder cleaned out?,End of every semester.,original
Must personal laptops be registered?,"Yes, with ICT Department.",original
Can personal laptops be plugged in teaching labs?,No; only in the General Lab designated area.,original
Who heads Academic Affairs?,"Deputy Vice-Chancellor, Academic Affairs (DVCAA).",original
What extensions reach the DVCAA?,406 / 407.,original
What are the undergraduate full-time units?,12 units (4 courses).,original
What is the minimum load for undergrad full-time status?,9 units.,original
What are graduate full-time units?,9 units.,original
What is the minimum graduate load?,6 units.,original
What defines a Freshman?,Fewer than 29 semester units.,original
What defines a Sophomore?,30 -59 semester units.,original
What defines a Junior?,60 -89 semester units.,original
What defines a Senior?,90+ semester units.,original
What GPA must an undergraduate maintain?,Minimum 2.0.,original
What GPA must a graduate maintain?,Minimum 3.0.,original
How many absences trigger an automatic F?,Five absences in a 3-unit course.,original
When must graduation be applied for?,By the deadline in the Academic Calendar.,original
What Cum Laude GPA range?,3.50 -3.69.,original
What Magna Cum Laude GPA range?,3.70 -3.89.,original
What Summa Cum Laude GPA range?,3.90 -4.00.,original
What is the USIU Gazette?,A newspaper produced by journalism students each semester.,original
Where is the Gazette newsroom?,"Dr. Lillian K. Beam Bldg, 1st Floor, Content Creation Room.",original
What is the library seating capacity?,1 200 seats.,original
How can users book study carrels?,Through the library website or information desk.,original
What online catalog is used?,OPAC.,original
What databases are mentioned?,EBSCOhost.,original
How long are course texts loaned?,Full semester.,original
Who can use the American Studies Collection?,All researchers in East & Central Africa.,original
What is the short-loan period?,2 hours.,original
What is the fine for overdue short-loan books?,Ksh 5 per hour.,original
What is the daily fine for overdue circulating books?,Ksh 3 per day.,original
How many books may an undergraduate borrow?,10 books for 2 weeks.,original
How many books may faculty borrow?,15 books for 1 month.,original
Can alumni borrow books?,"Yes, 2 books for 2 weeks after paying Ksh 5 000 annual fee.",original
Are reference works loanable?,No.,original
What is the penalty for lost/damaged items?,Double the cost.,original
What are semester library hours Mon -Fri?,8:15 am- 9:00 pm.,original
Saturday hours during semester?,9:00 am- 6:00 pm.,original
Sunday hours during semester?,11:00 am- 5:00 pm.,original
Are libraries open on public holidays?,No.,original
What extensions reach the library?,"254, 294, 371, 364, 252, 314.",original
What email reaches the librarians?,asklibrarian@usiu.ac.ke.,original
Who heads Student Affairs?,"Deputy Vice-Chancellor, Student Affairs & Enrolment (DVCSA).",original
What extension reaches the DVCSA?,436,original
What is SAC?,Student Affairs Council- governing body for all students.,original
Where are SAC offices?,Student Affairs Block.,original
What extension reaches SAC Executive?,243,original
How many members are on the SAC Executive?,Five.,original
Name the SAC Executive positions.,"Chair, Vice-Chair, Exec Secretary, Treasurer, Assistant Secretary.",original
What does SAC Welfare Rep I handle?,"Social events & general welfare (cafeteria, housing, health).",original
What does SAC Welfare Rep II handle?,Student transport & communication.,original
What do Academic Representatives do?,Liaise with faculty on academic concerns & events.,original
What is the SAC Senate composed of?,Executive + Welfare & Academic Reps.,original
Who registers clubs?,SAC.,original
How many registered clubs exist?,Over 25.,original
What extension helps students start new clubs?,243 (Assistant SAC Secretary).,original
Where is the Admissions Office?,"Ground floor, Administration Block.",original
What extensions reach Admissions?,"218, 300, 247, 503.",original
What email reaches Admissions?,admit@usiu.ac.ke.,original
What TOEFL score is required?,550 paper-based / 90 iBT.,original
What GMAT/GRE validity period is accepted?,Five years.,original
What is Special Status admission?,Non-degree students not meeting full degree requirements.,original
Can transfer credits be accepted?,"Yes, from accredited institutions, course-by-course.",original
What is the re-admission time limit for Leave of Absence?,One academic year (3 semesters).,original
Must returning graduates pay an application fee?,"Yes, non-refundable.",original
What is the Financial Aid Office mission?,Help students with financial need meet tuition costs.,original
What is the undergraduate full-time load for aid?,9 -12 units.,original
What is the graduate full-time load for aid?,6 -9 units.,original
Must Kenyan students apply for HELB first?,"Yes, if they qualify.",original
Is financial aid refundable?,No.,original
Name one undergraduate scholarship.,Full USIU Scholarship.,original
Name one graduate scholarship.,MBAS Scholarship.,original
Name an external scholarship.,Rattansi Education Trust Fund Grant.,original
Where is the Registrar's Office?,Administration Block.,original
What extensions reach the Registrar?,239 or 216.,original
What services does the Registrar handle?,"Transcripts, graduation, address updates, ID cards.",original
Where is the Dean of Students office?,Student Affairs Block.,original
What extension reaches the Dean of Students?,187,original
What services does the International Students Office provide?,"Orientation, city tours, exchange programs.",original
When is the international orientation held?,Third week of each semester.,original
What extension reaches the International Students Officer?,212,original
How many hostel beds exist?,256,original
Who mainly gets hostel priority?,International & up-country students.,original
What extension reaches Housing?,265,original
Where is the Student Center?,Between hostels and auditorium.,original
What facilities are in the Student Center?,"Gym, aerobics, TV, pool tables.",original
Who supervises the Yearbook?,Dean of Students.,original
Where is the Counselling Center?,Counselling Block opposite Classrooms I & J.,original
What extensions reach Counselling?,"311, 297.",original
Is counselling confidential?,Yes.,original
What services are offered at Counselling?,"Personal, career, group counselling, VCT.",original
Who runs the AIDS Control Unit?,University management.,original
What are the ACU mandates?,"Coordinate HIV programmes, prevention, policy.",original
What does the Career Office offer?,"CV training, career fairs, employer links.",original
What extension reaches the Career Counsellor?,162,original
Must posters be SAC-stamped?,Yes.,original
Can posters advertise alcohol?,No.,original
How long can posters stay up?,Two weeks (48 h for election materials).,original
Who approves use of library facilities?,University Librarian.,original
Who approves use of cafeteria after hours?,Hospitality Manager/Chef.,original
Who chairs disciplinary hearings?,Dean of Students or designee.,original
How long after an incident can charges be filed?,14 calendar days (extendable to 1 year).,original
Who appoints the disciplinary panel?,Management Council on DVC SA recommendation.,original
Can lawyers attend hearings?,"No, the system is quasi-legal.",original
How soon must a hearing be scheduled after complaint?,10 working days.,original
What is the minimum sanction for drug possession?,Dismissal.,original
Is alcohol allowed on campus?,No; zero-tolerance policy.,original
What sanction applies to first alcohol offence involving disorder?,Probation Level II.,original
What sanction applies to smoking on campus?,"Probation Level II, then suspension.",original
What is the littering fine?,Ksh 2 000.,original
What must repeat litterers do if unable to pay?,Clean litter for 5 days.,original
What policy protects against discrimination?,Policy of Non-Discrimination.,original
How long does HR have to respond to grievances?,30 calendar days.,original
Is confidentiality guaranteed in harassment investigations?,"Yes, to the extent practical.",original
What is the definition of sexual harassment?,Unwelcome sexual advances or conduct affecting academic progress.,original
What should a sexual-assault victim NOT do?,"Shower, change clothes, brush teeth.",original
Within how many hours should post-rape preventive treatment start?,Within 72 hours.,original
Does USIU require HIV testing?,No; testing is voluntary.,original
Who is covered under the HIV policy?,"Students, staff, alumni, outsourced workers.",original
What is the USIU HIV vision?,An institution free of HIV and AIDS.,original
How long are disciplinary records kept?,Five years.,original
What rights do students have regarding their records?,"Inspect, request amendment, privacy.",original
What is plagiarism?,Passing off another's work as one's own.,original
What sanction can the Dean impose for serious violations?,Suspension or expulsion.,original
How long does a student have to appeal a Dean's decision?,Request mediation within days (Catalogue).,original
Who sits on an academic appeal board?,"Faculty, administrator, two students.",original
Will transcript notations be removed?,Possible after 3 years for academic dismissal.,original
Who oversees the University Board of Trustees?,The Board oversees the long-range direction of the university; day-to-day matters are run by the Vice Chancellor and Management Council.,original
Does the university have exchange partnerships?,"Yes, USIU has relationships with campuses worldwide for student exchanges.",original
What is the Management Council composed of?,"Vice Chancellor, Deputy Vice-Chancellors, and Directors of Institutional Planning & Development, IT and Operations.",original
Can the Vice Chancellor's Office send faxes for students?,"Yes, for a fee.",original
Are cash payments allowed for transcripts?,"No cash; use cheque, bank deposit, or other approved methods.",original
What is the KES account at Co-operative Bank?,1.12E+11,original
What is the KES account at Standard Chartered?,1.04E+11,original
What reference should be used for Zap payments?,Student ID.,original
Can debit cards be used at the Finance cashiers?,Yes- Visa Electron and others.,original
Who approves deferred-payment agreements?,Credit Control office in Finance.,original
What documents prove a sponsor's income?,Bank statement or pay-slip.,original
What utility bill is required for payment plans?,Water or electricity bill.,original
Must self-sponsored students provide their own ID?,"Yes, all documents must be in the student's name.",original
What happens if financial clearance is missed?,Cannot attend or be recognized for the semester.,original
Does the Finance Office process refunds?,"Yes, tuition and caution-money refunds for graduates.",original
What are Sunday cafeteria breakfast hours?,From 9:30 am- 2:00 pm.,original
Is there brunch on Sundays?,Effectively yes; breakfast overlaps lunch 12:00 -2:00 pm.,original
Can meal-plan changes be reversed?,No; choices are final.,original
Where do Saturday evening snacks move after 6 pm?,To the upstairs restaurant.,original
Are public-holiday cafeteria hours the same as Sundays?,Yes.,original
Can student clubs order catering outside normal hours?,"Yes, via Student Affairs & SAC 5 days in advance.",original
What disciplinary action follows misuse of cafeteria?,Violation of Student Code of Conduct.,original
Is queuing required for meals?,Yes; self-service system.,original
Who coordinates field-trip transport?,Housing Office.,original
Are drivers on duty during vacation?,No; vacation allows maintenance and leave.,original
How are student bus routes decided?,By contracted company & SAC using academic timetables.,original
Can students request new bus routes?,"Yes, through SAC Welfare Rep II.",original
What is the Head of Security's extension?,Extension 583,original
What number should be dialed in emergencies?,Extensions 266 or 461.,original
Where should found items be delivered?,Security desk in Administration Block.,original
Who keeps unclaimed lost items?,Head of Security's office.,original
Is overnight parking automatic for residents?,No; must seek security clearance each time.,original
Can students film TikTok videos on campus?,Only with lecturer permission for academic purposes.,original
Who can accompany a victim reporting a crime?,"May request anonymity; report to DVC SA, Dean, Security.",original
What extension reaches the Counselling Center?,229 or 311.,original
What is the campus policy on theft?,Zero tolerance; strict sanctions.,original
What is the first rule of fire safety?,Do not overload outlets or cords.,original
Is smoking allowed in residence halls?,No; campus-wide prohibition.,original
What should you do when a fire alarm sounds?,Leave immediately to the assembly point.,original
Should you open a hot door during a fire?,No; find another exit.,original
Is the Alumni Association mandatory?,"Yes, all graduates must register.",original
How do alumni pay for facility use?,At Business Office before access.,original
Can alumni borrow library books?,"Yes, after paying annual Ksh 5 000 plus library fee.",original
Is Alumni membership lifetime?,"No, renewable yearly.",original
Does HR handle student complaints against staff?,"Yes, via grievance procedure  2.5.",original
Where is the Health Centre located?,Next to hostels.,original
What are Health Centre weekday hours?,8 am- 10 pm for all students.,original
What happens after 10 pm for residents?,Emergency services until 8 am.,original
Does the Health Centre provide stitches?,"Yes, minor surgery including stitching.",original
Are prescriptions dispensed on campus?,Yes.,original
Does the Health Centre offer vaccinations?,"Yes, routine and travel.",original
Is accident insurance automatic?,"Yes, for all registered students.",original
What is the maximum accident-cover payout?,Ksh 200 000.,original
Is death compensation available?,"Yes, Ksh 500 000.",original
How is sports-injury payment handled?,University pays providers directly.,original
Where are claim forms obtained?,USIU Health Centre.,original
Within how many days must claims be returned?,14 days from injury date.,original
What if you fail to submit claim forms?,Medical costs charged to student account.,original
Who clarifies insurance questions?,HR Director (Ext 408) or Health Coordinator.,original
What is the ICT mission?,Advance scholarship through technology integration.,original
Who is exempt from computer-lab fee?,IST students.,original
What is required for ICT services?,Financial clearance + lab fee (unless IST).,original
How many labs exist on campus?,15,original
Can students save to local C: drive?,Not advised; z:\ folder is backed up daily.,original
Is piracy tolerated in labs?,No; disciplinary action.,original
Can personal laptops use campus Wi-Fi?,"Yes, after registration and antivirus check.",original
Where can personal laptops be plugged in?,Only in designated General Lab section.,original
Who heads Academic Affairs Division?,"Deputy Vice-Chancellor, Academic Affairs.",original
What schools are under Academic Affairs?,"CSB, SHSS, SST, Library.",original
What extension contacts the DVCAA?,406 / 407.,original
What are normal undergraduate units?,12 units per semester.,original
What is the minimum full-time undergraduate load?,9 units.,original
How is a unit defined?,One hour of class plus two hours study per week.,original
What is a Freshman?,0 -29 units.,original
What is a Sophomore?,30 -59 units.,original
What is a Junior?,60 -89 units.,original
What is a Senior?,90+ units.,original
What GPA triggers probation?,Below 2.0 for undergrads; 3.0 for grads.,original
What happens after two consecutive probations?,Dismissal.,original
How many absences equal an F?,Five in a 3-unit course.,original
Must graduation be applied for?,"Yes, by the deadline.",original
How are honours calculated?,Cumulative GPA across all college work.,original
What GPA is Cum Laude?,3.50 -3.69.,original
What GPA is Magna Cum Laude?,3.70 -3.89.,original
What GPA is Summa Cum Laude?,3.90 -4.00.,original
Where is the Gazette office?,"Dr. Lillian K. Beam Bldg, 1st Floor, Content Creation Room.",original
What is the library's seating capacity?,1 200.,original
What are study carrels?,Small/large rooms for collaborative learning.,original
Are headphones provided in AV carrels?,Yes.,original
What is OPAC?,Online Public Access Catalog.,original
Name one database available.,EBSCOhost.,original
How long are course reserves loaned?,Full semester.,original
What is the Africana Collection?,Works by and about Africa.,original
What is the UN Collection for?,UN documentation for IR & environmental studies.,original
How long are short-loan items lent?,2 hours.,original
What is inter-library loan?,Borrowing from other libraries when USIU lacks material.,original
Is photocopying allowed?,"Yes, card-operated machines; >10 % violates copyright.",original
What are the library opening hours Mon -Fri during semester?,8:15 am -9:00 pm.,original
Vacation weekday hours?,8:15 am -5:00 pm.,original
Is the library open weekends during vacation?,No.,original
Who enforces library discipline?,University Librarian or designee.,original
How many circulating books can an undergraduate borrow?,10 for 2 weeks.,original
How many books can faculty borrow?,15 for 1 month.,original
Can alumni borrow?,"Yes, 2 books for 2 weeks after annual fee.",original
Are reference books loanable?,No.,original
What is the recall fine?,Ksh 3 per day after 7-day recall notice.,original
What happens to lost items?,Borrower pays double the cost.,original
What extension reaches SAC?,243,original
Who chairs SAC?,Chairperson of the Executive Committee.,original
Name SAC Executive positions.,"Chair, Vice-Chair, Executive Secretary, Treasurer, Assistant Secretary.",original
What does Welfare Rep I do?,"Social events & welfare (cafeteria, health, housing).",original
What does Welfare Rep II do?,Transport & communication.,original
What do Academic Reps do?,Address academic concerns & inter-university activities.,original
What is the SAC Senate?,Executive + Welfare & Academic Reps.,original
How many clubs exist?,Over 25.,original
What English test is required?,TOEFL 550/90 or Cambridge C.,original
How long are GMAT/GRE scores valid?,Five years.,original
What is Special Status?,Non-degree students not meeting full requirements.,original
Are extension/correspondence credits accepted?,No.,original
How long is Leave of Absence?,Maximum one academic year.,original
Do returning graduates pay application fee?,"Yes, non-refundable.",original
What is Financial Aid's mission?,Support students with financial need.,original
What is the undergrad full-time load for aid?,9 -12 units.,original
What is the grad full-time load for aid?,6 -9 units.,original
Must Kenyans apply for HELB first?,"Yes, if eligible.",original
Is aid refundable?,No.,original
Name one undergrad scholarship.,Alumni Scholarship.,original
Name one grad scholarship.,Graduate Assistantship.,original
What extensions reach Registrar?,"239, 216.",original
What services does Registrar provide?,"Transcripts, graduation, address updates, ID cards.",original
Where is the Dean of Students?,Student Affairs Block.,original
What extension reaches Dean of Students?,187,original
What services does International Students Office offer?,"Orientation, tours, exchange programs.",original
When is orientation held?,Third week of each semester.,original
What extension reaches ISO?,212,original
Who gets hostel priority?,International & up-country students.,original
What facilities are in Student Center?,"Gym, aerobics, TV, pool tables.",original
Where is Counselling Center?,Counselling Block opposite Classrooms I & J.,original
What services offered?,"Personal, career, group counselling, VCT.",original
What does ACU coordinate?,"HIV programmes, policy, outreach.",original
What does Career Office provide?,"CV training, career fairs, employer links.",original
What extension reaches Career Counsellor?,162,original
Must all posters be SAC-stamped before display?,Yes; SAC stamp is mandatory.,original
What languages must appear on posters?,At least 75 % English or translated.,original
Can posters advertise cigarettes or alcohol?,No; such content is prohibited.,original
Who approves sports-related posters?,Sports Committee.,original
How long can election posters remain up?,48 hours after election day.,original
Who authorizes hostel bulletin-board notices?,Housing Officer or designated RA.,original
Can exterior residence-hall surfaces be used freely?,No; regulated by Student Affairs.,original
Is placing flyers on vehicles allowed?,No; it causes litter.,original
Who schedules academic classes?,Academic Program Administrators.,original
Who approves use of ICT labs?,ICT Director.,original
How far in advance must facilities be booked?,At least one week.,original
Can fireworks be used on campus?,Only with prior approval from Operations & Security.,original
Does the university allow commercial filming?,Only with prior written approval.,original
Who has first priority for facility use?,Academic classes.,original
What is the jurisdiction of Student Code of Conduct?,On and off campus; all students.,original
Are student organizations bound by the Code?,"Yes, same as individual students.",original
Who decides if university interests are involved in off-campus misconduct?,Vice Chancellor or designee.,original
What is the minimum sanction for physical assault?,Probation Level II.,original
What is the sanction for interfering with free speech?,Probation Level I.,original
What is the sanction for drug possession?,Dismissal.,original
What is the sanction for forging documents?,Probation Level II.,original
What is the sanction for theft?,Dismissal.,original
What is the sanction for unauthorized fireworks?,Probation Level II.,original
What is the sanction for speeding on campus?,Banned from driving to university.,original
Who files disciplinary charges?,Any university member in writing to Dean of Students.,original
How soon must complaints be filed?,14 calendar days (extendable to 1 year).,original
Who acknowledges receipt of a complaint?,Hearing Officer or designee within 5 days.,original
How soon is a hearing scheduled?,Within 10 working days after acknowledgment.,original
How many panel members are students?,Two.,original
Can lawyers represent students in hearings?,No.,original
Who records the hearing?,Hearing Officer; kept 2 years.,original
Can hearings be postponed?,"Yes, on request within 2 days of notice.",original
What interim action can be taken?,Interim suspension for safety.,original
How soon must interim cases be heard?,Within 14 working days.,original
What sanctions can be combined?,"Any, e.g., probation plus restitution.",original
Are refunds given for disciplinary suspension?,No.,original
What is Disciplinary Warning?,Written admonition for minor misconduct.,original
What is Probation Level I?,Serious reprimand; may still represent university.,original
What is Probation Level II?,Cannot represent university; next step suspension.,original
What is Interim Suspension?,Immediate removal pending hearing.,original
What is Suspension?,Involuntary separation for a set period.,original
What is Dismissal?,Permanent separation.,original
What is Restitution?,Payment for damages plus admin fee.,original
How long to appeal disciplinary outcome?,5 working days in writing.,original
Who hears the appeal?,DVC Student Affairs or panel.,original
Is legal counsel allowed in appeals?,No.,original
Is alcohol allowed at university events?,No; alcohol-free campus.,original
What sanction follows first alcohol disorder offence?,Probation Level II.,original
What sanction follows repeat alcohol offence?,Suspension.,original
What is the drug policy in brief?,Zero tolerance; dismissal for possession.,original
Is miraa/khat banned?,"Yes, classified as illegal drug.",original
Can rooms be searched for drugs?,"Yes, when necessary.",original
Where can students get alcohol/drug help?,"Counselling, Health Centre, Peer Counsellors.",original
Is smoking allowed in buses?,No; campus-wide ban.,original
What sanction for first smoking offence?,Probation Level II.,original
What sanction for repeat smoking offence?,Suspension or dismissal.,original
What is the littering fine first offence?,Ksh 2 000.,original
Can littering fines be commuted?,"Yes, 5 days cleaning if unable to pay.",original
What is the graffiti sanction?,Probation Level II or higher.,original
Who enforces littering policy?,"Security, cafeteria staff.",original
How to report discrimination?,Written complaint to DVC Student Affairs.,original
How long for HR to respond to discrimination?,30 calendar days.,original
Is confidentiality promised in harassment cases?,"Yes, to the extent practical.",original
What is retaliation considered?,An actionable offence.,original
What is sexual harassment definition?,Unwelcome sexual conduct affecting academics.,original
Who can be accused of sexual harassment?,"Students, staff, faculty.",original
What should a victim first do?,Firmly reject and report.,original
Is reporting sexual harassment protected?,"Yes, no reprisals.",original
What is sexual assault definition?,Any non-consensual sexual act.,original
What immediate number should a rape victim call?,999 or 112 police.,original
What should NOT be done after assault?,"Shower, change clothes, brush teeth.",original
Within how many hours take HIV PEP?,Within 72 hours.,original
Who fills Post-Rape Care form?,Medical practitioner.,original
Is HIV testing mandatory at USIU?,"No, voluntary.",original
Who is covered by HIV policy?,"Students, staff, alumni, outsourced providers.",original
What is the HIV vision?,HIV-free institution.,original
What is the HIV mission?,"Prevent, control, care, support via quality interventions.",original
Does USIU deny admission based on HIV?,No.,original
Is HIV status disclosure required?,"No, confidential unless consent.",original
Who can access HIV care on campus?,All infected/affected students & staff.,original
Is testing required for employment?,No.,original
How long are student disciplinary records kept?,5 years.,original
Can students inspect their records?,"Yes, within 45 days of request.",original
Who can amend incorrect records?,DVC Academic Affairs or VC.,original
Are records disclosed to other schools?,"Yes, for transfer without consent.",original
What is fabrication?,Inventing data or citations.,original
What is unauthorized collaboration?,Working together unless expressly allowed.,original
What is theft of resources?,Unauthorized taking of materials or software.,original
What is disruption of academic activity?,Behavior that disturbs teaching after warning.,original
Who investigates academic misconduct?,Lecturer or supervisor first.,original
What grade is given pending misconduct outcome?,Incomplete.,original
Who decides if formal charges proceed?,Dean of School.,original
How soon must Dean respond to lecturer report?,Within 2 weeks.,original
Can students respond to allegations?,"Yes, in writing and/or meeting.",original
What sanctions for infractions?,Warning or probation.,original
What sanctions for serious violations?,Suspension or expulsion.,original
How long kept in educational record?,5 years.,original
Can transcript notation be removed?,Request after 3 years; Dean's decision final.,original
Who sits on academic appeal board?,"Faculty, administrator, two students.",original
Is appeal board decision final?,Yes.,original
What is the Academic Code purpose?,Uphold scholastic honesty and ethics.,original
Who must report suspected academic violations?,All students and faculty.,original
Who ensures faculty uphold ethics?,Dean of School.,original
Who signs the welcome message in the Handbook?,"Freida A. Brown, Ph.D., Vice Chancellor.",original
Does the VC 's welcome mention lifelong learning?,"Yes, explicitly.",original
Does the VC encourage cafeteria interactions?,"Yes, to meet and treasure cultures.",original
What office handles long-range university direction?,Board of Trustees.,original
How many Deputy Vice-Chancellors sit on Management Council?,Two.,original
Is the VC 's fax service available on weekends?,Not specified; office hours assumed.,original
Does Finance accept foreign cheques?,Not stated; use Kenyan banks or wire.,original
Can parents pay fees directly?,"Yes, any payer using student ID reference.",original
Are wire transfers accepted in Euros?,Only USD and KES accounts listed.,original
What is the intermediary bank SWIFT for USD wires?,MRMDUS33 (HSBC New York).,original
Is there a minimum amount for M-PESA Paybill?,Not specified; system minimum applies.,original
Do bounced-cheque penalties compound monthly?,"No, one-time penalty per cheque.",original
Can instalment plans cover only tuition or also accommodation?,Primarily tuition; discuss extras with Credit Control.,original
Does meal-plan balance roll over?,"No, forfeited at semester end.",original
Are Sunday brunch dishes the same as weekday breakfast?,Menu varies; chef 's choice.,original
Can students take cafeteria food outside?,No; against regulations.,original
Is there a microwave for students?,Available in cafeteria dining area.,original
Who operates the upstairs restaurant?,Cafeteria management with surcharge.,original
Are takeaway containers provided?,No; environmental policy discourages disposables.,original
Does contracted transport run during exams?,"Yes, adjusted to exam timetables.",original
Can staff ride student-contracted buses?,No; two separate services.,original
Is there a lost-and-found hotline?,Ext Extension 583 (Head of Security).,original
Are campus speed bumps marked?,"Yes, reflective paint and signs.",original
Who issues visitor parking passes?,Security desk at gate.,original
Can bicycles be brought into buildings?,No; use racks outside.,original
Is skateboarding after dark allowed?,"Yes, under lighting and speed limit.",original
Who conducts fire drills?,Security & Operations jointly.,original
Are fire drills announced in advance?,Usually unannounced.,original
Where are fire blankets located?,Laboratory corridors.,original
Who trains residence-hall fire marshals?,Security quarterly.,original
Does Alumni Office issue membership cards?,"Yes, upon annual renewal.",original
Can alumni rent sports fields?,"Yes, after paying facility fees.",original
Who governs the Alumni Association?,Nine Executive Committee members.,original
How often are alumni elections held?,Annually at AGM.,original
Can alumni attend lectures?,"Yes, guest auditor policy applies.",original
Who handles staff disciplinary issues?,Human Resources Manager.,original
Does HR provide staff IDs?,"Yes, through same ID office.",original
Who updates staff contact info?,"Human Resources Office, Ext 408.",original
Is staff health insurance separate?,"Yes, under staff scheme.",original
Can students access staff clinic?,No; separate Health Centre.,original
Does Health Centre provide X-rays?,No; refer to partner hospitals.,original
Are prescription glasses covered by insurance?,No; accident-related eye injury only.,original
Who coordinates blood-donation drives?,ACU & Health Centre.,original
Can students get travel vaccines?,"Yes, schedule with Health Centre.",original
Are medical forms needed for sports?,"Yes, medical clearance each semester.",original
Who updates antivirus definitions campus-wide?,ICT Department daily.,original
Is personal router allowed in hostels?,No; use campus Wi-Fi.,original
Can students install software on lab PCs?,No; admin rights restricted.,original
Is cloud storage provided?,"Yes, Google Workspace via USIU Gmail.",original
Who controls printing quotas?,ICT; top-up via Finance.,original
